,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
449325,11445986,13378164,24000,24000,24000.0, 60 months,15.61,578.68,C,C4,Systems Security Consulant,2 years,MORTGAGE,107000.0,Verified,Feb-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11445986,,debt_consolidation,Debt consolidation,265xx,WV,32.1,0.0,Jun-93,0.0,,,15.0,0.0,12019,35.7,63.0,f,16908.62,16908.62,13309.64,13309.64,7091.38,6218.26,0.0,0.0,0.0,Jan-16,578.68,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,319127.0,,,,,,,,,,,,33700.0,,,
149215,3919306,5012924,18000,18000,17950.0, 60 months,13.11,410.57,B,B4,windstream,10+ years,MORTGAGE,60000.0,Verified,Apr-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3919306,  Borrower added on 04/08/13 > consolidate my credit cards<br>,credit_card,consolidation,281xx,NC,16.62,0.0,Nov-95,0.0,,,9.0,0.0,27570,63.8,28.0,f,0.0,0.0,4414.45,4402.19,1093.04,959.46,0.0,2361.95,23.6195,Sep-13,410.57,,Feb-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,218475.0,,,,,,,,,,,,43200.0,,,
272157,32218828,34832047,35000,35000,35000.0, 60 months,17.57,880.61,D,D4,Owner,10+ years,OWN,150000.0,Not Verified,Oct-14,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=32218828,,debt_consolidation,Debt consolidation,985xx,WA,31.14,0.0,Feb-00,0.0,25.0,,13.0,0.0,17574,67.9,23.0,w,30208.47,30208.47,10533.16,10533.16,4791.53,5741.63,0.0,0.0,0.0,Nov-15,880.61,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,1316.0,177976.0,,,,,,,,,,,,26200.0,,,
382682,17133162,19255677,30000,30000,30000.0, 36 months,11.67,991.71,B,B4,Attorney,5 years,MORTGAGE,225000.0,Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17133162,,debt_consolidation,Debt consolidation,800xx,CO,18.3,0.0,May-00,0.0,,,36.0,0.0,54764,56.3,58.0,f,15470.03,15470.03,18842.49,18842.49,14529.97,4312.52,0.0,0.0,0.0,Dec-15,991.71,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,582541.0,,,,,,,,,,,,97200.0,,,
41892,270913,270889,6000,6000,3250.000685, 36 months,12.92,201.94,D,D2,B&B Paint co Inc,3 years,RENT,23000.0,Not Verified,Mar-08,Does not meet the credit policy. Status:Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=270913,"I would like to pay off braces for my kid, and some small bills that I have",medical,private,982xx,WA,6.94,0.0,Mar-03,12.0,0.0,106.0,7.0,1.0,6934,75.4,23.0,f,0.0,0.0,6670.14,3609.0,5194.47,1257.98,14.98662969,202.7,70.66,Dec-10,201.94,Apr-11,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
353037,20068272,22330928,8000,8000,8000.0, 36 months,8.39,252.14,A,A5,IT ,10+ years,MORTGAGE,85000.0,Not Verified,Jul-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20068272,,debt_consolidation,Debt consolidation,027xx,MA,15.29,0.0,Oct-94,0.0,,,19.0,0.0,20369,28.5,41.0,w,0.0,0.0,8278.96,8278.96,8000.0,278.96,0.0,0.0,0.0,May-15,2009.7,,Jun-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,403528.0,,,,,,,,,,,,71400.0,,,
266397,32479191,35092432,10000,10000,10000.0, 36 months,16.29,353.01,D,D2,Assistant Manager,2 years,RENT,40663.0,Source Verified,Oct-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=32479191,,debt_consolidation,Debt consolidation,640xx,MO,19.81,0.0,Jun-07,0.0,,,15.0,0.0,6022,66.2,17.0,w,0.0,0.0,10927.36,10927.36,10000.0,927.36,0.0,0.0,0.0,Jun-15,8818.35,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,42954.0,,,,,,,,,,,,9100.0,,,
84742,7534956,9197095,26500,26500,26500.0, 60 months,21.0,716.92,E,E1,English Teacher,10+ years,RENT,60000.0,Verified,Oct-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7534956,,credit_card,Credit Help,488xx,MI,7.82,0.0,Aug-97,1.0,,,9.0,0.0,19575,68.2,25.0,f,0.0,0.0,5832.31,5832.31,771.73,1375.82,0.0,3684.76,36.8476,Jan-14,716.92,,Jun-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,79934.0,,,,,,,,,,,,28713.0,,,
272698,32138612,34741825,3500,3500,3500.0, 36 months,11.67,115.7,B,B4,RN,2 years,RENT,65000.0,Not Verified,Oct-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=32138612,,debt_consolidation,Debt consolidation,761xx,TX,19.83,0.0,Oct-97,1.0,,74.0,9.0,1.0,2512,14.7,24.0,w,0.0,0.0,3797.88,3797.88,3500.0,297.88,0.0,0.0,0.0,Jul-15,2874.55,,Aug-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,46121.0,,,,,,,,,,,,17100.0,,,
255859,34323603,36986975,20000,20000,20000.0, 36 months,6.49,612.89,A,A2,Club Manager,10+ years,OWN,115000.0,Verified,Nov-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34323603,,credit_card,Credit card refinancing,026xx,MA,16.24,1.0,May-85,0.0,22.0,,8.0,0.0,25041,40.6,19.0,w,0.0,0.0,20750.41,20750.41,20000.0,750.41,0.0,0.0,0.0,Aug-15,4850.53,,Aug-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,53271.0,,,,,,,,,,,,61700.0,,,
48826,9894769,11746920,9750,9750,9750.0, 36 months,13.53,331.02,B,B5,Nurse -LPN,10+ years,RENT,64000.0,Not Verified,Dec-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9894769,,credit_card,LendingClub,992xx,WA,10.29,0.0,Dec-96,0.0,40.0,,9.0,0.0,8198,76.3,37.0,f,3041.67,3041.67,8605.68,8605.68,6708.33,1897.35,0.0,0.0,0.0,Jan-16,331.02,Feb-16,Jan-16,0.0,40.0,1,INDIVIDUAL,,,,0.0,0.0,12712.0,,,,,,,,,,,,9700.0,,,
235470,36900200,39652922,14375,14375,14375.0, 36 months,13.66,488.94,C,C3,shipping,3 years,RENT,28800.0,Verified,Dec-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36900200,,debt_consolidation,Debt consolidation,895xx,NV,21.42,0.0,Mar-01,0.0,57.0,,6.0,0.0,4524,42.3,27.0,w,8950.19,8950.19,7156.31,7156.31,5424.81,1731.5,0.0,0.0,0.0,Jan-16,488.94,Feb-16,Jan-16,0.0,57.0,1,INDIVIDUAL,,,,0.0,0.0,8378.0,,,,,,,,,,,,10700.0,,,
50968,9755399,1464110,10000,10000,10000.0, 36 months,16.99,356.48,D,D1,Office manager,8 years,MORTGAGE,40000.0,Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9755399,  Borrower added on 12/09/13 > New home items<br>,moving,Moving and relocation,712xx,LA,29.49,0.0,Dec-00,1.0,,56.0,13.0,1.0,3545,20.7,39.0,f,0.0,0.0,10547.75758,10547.76,10000.0,547.76,0.0,0.0,0.0,Apr-14,9478.7,,Oct-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,59689.0,,,,,,,,,,,,17100.0,,,
187278,1695838,1988671,21200,21200,21200.0, 60 months,19.72,558.38,D,D5,nbty inc,6 years,RENT,48000.0,Verified,Nov-12,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1695838,,credit_card,credit card payoff,330xx,FL,21.27,0.0,Mar-02,1.0,,,13.0,0.0,28401,69.1,18.0,f,10245.94,10245.94,21201.19,21201.19,10954.06,10247.13,0.0,0.0,0.0,Jan-16,558.38,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,144860.0,,,,,,,,,,,,41100.0,,,
380518,17543419,19665952,7000,7000,7000.0, 36 months,14.99,242.63,C,C5,,,MORTGAGE,55200.0,Verified,Jun-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17543419,,medical,Medical expenses,751xx,TX,18.08,0.0,May-93,0.0,74.0,,10.0,0.0,23744,71.7,20.0,f,0.0,0.0,7513.64,7513.64,7000.0,513.64,0.0,0.0,0.0,Apr-15,1324.97,,Jan-16,0.0,74.0,1,INDIVIDUAL,,,,0.0,0.0,171010.0,,,,,,,,,,,,33100.0,,,
356002,20248063,22510859,29000,29000,29000.0, 36 months,12.99,976.99,C,C1,Supervising Social Worker,10+ years,MORTGAGE,90000.0,Source Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20248063,,debt_consolidation,Debt consolidation,908xx,CA,23.85,2.0,Nov-86,0.0,6.0,,16.0,0.0,29824,88.5,25.0,f,15900.59,15900.59,17585.82,17585.82,13099.41,4486.41,0.0,0.0,0.0,Jan-16,976.99,Feb-16,Jan-16,0.0,22.0,1,INDIVIDUAL,,,,0.0,0.0,328180.0,,,,,,,,,,,,33700.0,,,
331645,23573186,25936146,20000,20000,20000.0, 36 months,12.49,668.98,B,B5,Vice president,7 years,MORTGAGE,196000.0,Source Verified,Aug-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23573186,,credit_card,Credit card refinancing,606xx,IL,12.51,0.0,Feb-03,1.0,68.0,,11.0,0.0,4306,93.0,44.0,f,0.0,0.0,20803.69,20803.69,20000.0,803.69,0.0,0.0,0.0,Dec-14,18796.75,,Jan-16,0.0,78.0,1,INDIVIDUAL,,,,0.0,0.0,137612.0,,,,,,,,,,,,5500.0,,,
330050,24003809,26376701,6000,6000,5950.0, 36 months,6.49,183.87,A,A2,Administrative Asssistant,4 years,RENT,37000.0,Source Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24003809,,credit_card,Credit card refinancing,112xx,NY,6.16,0.0,Apr-10,1.0,,,14.0,0.0,5697,37.2,24.0,f,3311.42,3283.83,3128.41,3102.34,2688.58,439.83,0.0,0.0,0.0,Jan-16,183.87,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,30341.0,,,,,,,,,,,,15300.0,,,
409259,14388501,13969060,19500,19500,19500.0, 60 months,19.99,516.53,E,E1,Merchandise andGames Manager,6 years,MORTGAGE,55718.0,Not Verified,Apr-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14388501,,debt_consolidation,Debt consolidation,316xx,GA,21.62,4.0,Mar-01,1.0,7.0,,9.0,0.0,8922,47.7,18.0,w,14735.6,14735.6,10847.13,10847.13,4764.4,6082.73,0.0,0.0,0.0,Jan-16,516.53,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,167282.0,,,,,,,,,,,,18700.0,,,
185328,2075953,2428197,10300,10300,10300.0, 36 months,15.31,358.62,C,C2,Henjum Goucher Reporting,5 years,MORTGAGE,60000.0,Source Verified,Nov-12,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2075953,"  Borrower added on 11/13/12 > I would like to replace my wooden fence in backyard, remodel one bathroom and totally re-do the plumbing in my home.  I will also be paying off 2 credit cards.<br>",home_improvement,Home improvement,752xx,TX,17.1,14.0,Dec-98,2.0,12.0,,21.0,0.0,9680,64.1,36.0,f,0.0,0.0,2868.48,2868.48,1900.63,967.85,0.0,0.0,0.0,Jul-13,358.62,,Jan-16,0.0,12.0,1,INDIVIDUAL,,,,0.0,0.0,110082.0,,,,,,,,,,,,15100.0,,,
13671,778517,981122,20000,20000,19950.0, 60 months,10.99,434.75,B,B3,Comcast,10+ years,MORTGAGE,75000.0,Verified,Jun-11,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=778517,  Borrower added on 06/09/11 > I am using this loan for home improvements.  I have a very stable job and have been with the company for 12 years.  I have an excellent credit history and this payment is easily within my normal budget.  Thanks.<br/>,home_improvement,Swimming Pool,660xx,KS,9.49,0.0,Sep-98,0.0,,,12.0,0.0,14299,19.6,26.0,f,2556.59,2550.13,23430.6,23372.13,17443.41,5987.19,0.0,0.0,0.0,Dec-15,434.75,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
261938,33501329,36144595,25600,25600,25600.0, 60 months,10.49,550.12,B,B3,Treasury Analyst,5 years,MORTGAGE,75000.0,Source Verified,Nov-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33501329,,credit_card,Credit card refinancing,300xx,GA,15.22,0.0,Feb-96,0.0,32.0,,18.0,0.0,41961,36.3,26.0,w,20762.44,20762.44,7686.76,7686.76,4837.56,2849.2,0.0,0.0,0.0,Jan-16,550.12,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,86967.0,,,,,,,,,,,,115700.0,,,
158567,3631726,4584497,6000,6000,6000.0, 36 months,6.03,182.62,A,A1,Town of Wellesley,6 years,MORTGAGE,87000.0,Not Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3631726,  Borrower added on 03/04/13 > I am trying to consolidate some debt.<br>,debt_consolidation,Debt consolidation,020xx,MA,3.78,0.0,May-97,2.0,,,11.0,0.0,2612,7.2,40.0,f,0.0,0.0,6220.19,6220.19,6000.0,220.19,0.0,0.0,0.0,Nov-13,4944.31,,Jul-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,385234.0,,,,,,,,,,,,36400.0,,,
224868,1164025,1405021,13000,13000,13000.0, 36 months,9.76,418.02,B,B1,Great Southwestern Construction,1 year,RENT,60000.0,Not Verified,Mar-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1164025,"  Borrower added on 02/26/12 > Im trying to consolidate my high interest credit card, and another card I have. And pay off my car.<br>",debt_consolidation,Credit Card and other debt conslidation,811xx,CO,15.68,0.0,Oct-05,1.0,,,8.0,0.0,7366,58.0,13.0,f,0.0,0.0,14788.27195,14788.27,13000.0,1788.27,0.0,0.0,0.0,Mar-14,5199.34,,Jun-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
138173,5135338,6457658,4000,4000,4000.0, 36 months,19.72,148.09,D,D5,Maxwell Kates,10+ years,RENT,30000.0,Verified,May-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5135338,,major_purchase,Major purchase,103xx,NY,10.0,0.0,Jun-01,0.0,,,4.0,0.0,7807,77.3,7.0,w,568.54,568.54,4738.88,4738.88,3431.46,1307.42,0.0,0.0,0.0,Jan-16,148.09,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,7807.0,,,,,,,,,,,,10100.0,,,
390682,16081809,18184298,15000,15000,15000.0, 36 months,7.12,463.98,A,A3,Regional Vice President,10+ years,MORTGAGE,120000.0,Source Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16081809,,credit_card,Credit card refinancing,850xx,AZ,24.0,0.0,Jun-90,0.0,,,9.0,0.0,13576,65.0,16.0,f,7062.24,7062.24,9279.6,9279.6,7937.76,1341.84,0.0,0.0,0.0,Jan-16,463.98,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,255786.0,,,,,,,,,,,,20900.0,,,
322989,24655424,27088361,32600,32600,32600.0, 36 months,13.35,1103.93,C,C2,President,7 years,MORTGAGE,208000.0,Not Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24655424,,debt_consolidation,Debt consolidation,801xx,CO,9.88,0.0,May-01,0.0,41.0,,18.0,0.0,25742,49.4,25.0,f,18812.26,18812.26,18766.81,18766.81,13787.74,4979.07,0.0,0.0,0.0,Jan-16,1103.93,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,285062.0,,,,,,,,,,,,52100.0,,,
375390,17894735,20047191,15000,15000,15000.0, 36 months,7.69,467.91,A,A4,Analyst,3 years,RENT,95000.0,Not Verified,Jun-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17894735,,credit_card,Credit card refinancing,200xx,DC,5.82,1.0,Dec-01,0.0,10.0,,13.0,0.0,13689,54.8,22.0,f,7513.49,7513.49,8890.29,8890.29,7486.51,1403.78,0.0,0.0,0.0,Jan-16,467.91,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,60623.0,,,,,,,,,,,,25000.0,,,
431672,12519311,14531434,15000,15000,15000.0, 36 months,16.59,531.74,D,D1,Systems Consultant,10+ years,MORTGAGE,90000.0,Source Verified,Mar-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12519311,  Borrower added on 03/05/14 > I will be paying off credit cards balances with this money.<br>,credit_card,Credit card refinancing,130xx,NY,11.45,2.0,Apr-93,1.0,7.0,,14.0,0.0,14163,84.8,27.0,w,0.0,0.0,8809.4,8809.4,5476.2,3280.02,53.18,0.0,0.0,Dec-15,150.0,,Jan-16,0.0,19.0,1,INDIVIDUAL,,,,0.0,0.0,88685.0,,,,,,,,,,,,16700.0,,,
370554,19015452,21158133,14000,14000,14000.0, 60 months,22.15,387.86,E,E5,Sr. WQC Operator,10+ years,RENT,45000.0,Source Verified,Jun-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19015452,,debt_consolidation,Debt consolidation,300xx,GA,22.96,0.0,Jan-07,1.0,,,9.0,0.0,5976,39.8,12.0,f,0.0,0.0,4654.32,4654.32,1721.13,2933.19,0.0,0.0,0.0,Jun-15,387.86,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,35918.0,,,,,,,,,,,,15000.0,,,
326432,23935777,26308355,13600,13600,13600.0, 60 months,14.99,323.48,C,C5,Supervisor,10+ years,MORTGAGE,34000.0,Not Verified,Aug-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23935777,,debt_consolidation,Debt consolidation,295xx,SC,4.48,1.0,Aug-00,2.0,21.0,,9.0,0.0,4333,17.5,38.0,w,0.0,0.0,15912.07,15912.07,13600.0,2312.07,0.0,0.0,0.0,Oct-15,11706.83,,Nov-15,0.0,29.0,1,INDIVIDUAL,,,,0.0,332.0,157421.0,,,,,,,,,,,,24800.0,,,
346662,21110859,23393574,24000,24000,24000.0, 60 months,15.61,578.68,D,D1,consultant,4 years,OWN,80000.0,Not Verified,Jul-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=21110859,,debt_consolidation,Debt consolidation,799xx,TX,16.05,1.0,Sep-90,1.0,17.0,,14.0,0.0,11689,65.3,39.0,f,0.0,0.0,25965.65,25965.65,24000.0,1965.65,0.0,0.0,0.0,Jan-15,23072.25,,Apr-15,0.0,17.0,1,INDIVIDUAL,,,,0.0,0.0,42738.0,,,,,,,,,,,,17900.0,,,
461627,10235402,12097555,9000,9000,9000.0, 36 months,7.62,280.46,A,A3,Mfg Tech,10+ years,MORTGAGE,46000.0,Verified,Jan-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10235402,  Borrower added on 01/08/14 > To pay-off high interest credit cards.<br>,credit_card,credit card payoff,551xx,MN,26.04,0.0,May-02,0.0,,,21.0,0.0,9448,27.7,39.0,f,0.0,0.0,9924.170003,9924.17,9000.0,924.17,0.0,0.0,0.0,Nov-15,4034.51,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,156339.0,,,,,,,,,,,,34164.0,,,
45076,10136054,11988100,7200,7200,7200.0, 36 months,17.57,258.75,D,D2,Sr. Electrical Engineer,1 year,RENT,78600.0,Not Verified,Dec-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10136054,,credit_card,Credit Card debt consolidation,117xx,NY,4.41,1.0,Feb-08,2.0,22.0,,11.0,0.0,5839,42.3,13.0,f,0.0,0.0,8875.827137,8875.83,7200.0,1675.83,0.0,0.0,0.0,Sep-15,3959.86,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,5839.0,,,,,,,,,,,,13800.0,,,
139533,1680886,1963430,7925,7925,7925.0, 36 months,14.09,271.21,B,B5,fred meyer distribution center,6 years,MORTGAGE,48000.0,Verified,May-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1680886,  Borrower added on 05/07/13 > debt consolidatoin<br><br> Borrower added on 05/07/13 > to pay off debt<br>,debt_consolidation,debt,970xx,OR,33.08,0.0,Jan-04,1.0,,,12.0,0.0,12678,49.9,26.0,w,0.0,0.0,9539.8,9539.8,7925.0,1614.8,0.0,0.0,0.0,May-15,3301.97,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,206442.0,,,,,,,,,,,,25400.0,,,
353977,20398599,22671379,6500,6500,6500.0, 36 months,12.99,218.98,C,C1,UTILITY(DISHWASHER),6 years,RENT,17500.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20398599,,debt_consolidation,Debt consolidation,199xx,DE,13.99,0.0,May-01,0.0,81.0,,7.0,0.0,6935,66.7,12.0,w,1955.53,1955.53,5474.5,5474.5,4544.47,930.03,0.0,0.0,0.0,Jan-16,218.98,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,6935.0,,,,,,,,,,,,10400.0,,,
359837,20167154,22429895,27325,27325,27325.0, 60 months,23.43,777.08,F,F1,Fire Captain,10+ years,MORTGAGE,72000.0,Verified,Jul-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20167154,,home_improvement,Home improvement,932xx,CA,24.87,0.0,Sep-00,3.0,39.0,,6.0,0.0,23366,67.0,22.0,w,0.0,0.0,31668.22,31668.22,27325.0,4343.22,0.0,0.0,0.0,Mar-15,26228.66,,Dec-15,0.0,39.0,1,INDIVIDUAL,,,,0.0,0.0,57747.0,,,,,,,,,,,,34900.0,,,
91150,7063980,8725469,12000,12000,12000.0, 36 months,6.03,365.23,A,A1,Riverside County Sheriff,10+ years,MORTGAGE,133000.0,Source Verified,Sep-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7063980,,credit_card,B of A,925xx,CA,24.42,1.0,Dec-90,0.0,22.0,,13.0,0.0,19819,68.3,44.0,f,0.0,0.0,12533.06073,12533.06,12000.0,533.06,0.0,0.0,0.0,Jul-14,9246.35,,Jul-14,0.0,22.0,1,INDIVIDUAL,,,,0.0,0.0,552966.0,,,,,,,,,,,,29000.0,,,
159379,3016003,3628288,19600,19600,19600.0, 36 months,18.49,713.42,D,D2,Autumn Village LLC,4 years,RENT,50000.0,Verified,Mar-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3016003,,small_business,Start a business,016xx,MA,12.98,0.0,Feb-01,0.0,,,12.0,0.0,16810,42.6,28.0,w,0.0,0.0,24471.42,24471.42,19600.0,4871.42,0.0,0.0,0.0,Dec-14,10203.02,,Dec-14,0.0,,1,INDIVIDUAL,,,,0.0,0.0,17322.0,,,,,,,,,,,,39500.0,,,
166264,3292440,4065541,20425,20425,20425.0, 60 months,17.77,516.11,D,D1,Clovis & Roche Inc. CST Company,2 years,MORTGAGE,60000.0,Verified,Feb-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3292440,  Borrower added on 02/01/13 > I'm useing the loan to consolidate my debt and to get a new roof for my home.<br>,debt_consolidation,Consolidate and New Roof Loan,140xx,NY,9.86,0.0,Sep-01,1.0,,,6.0,0.0,1225,87.5,21.0,f,0.0,0.0,15479.82,15479.82,7994.97,7484.85,0.0,0.0,0.0,Aug-15,516.11,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,125609.0,,,,,,,,,,,,1400.0,,,
1731,1047018,1277883,5000,5000,5000.0, 36 months,11.71,165.38,B,B3,Wolverine Tube,10+ years,RENT,43000.0,Source Verified,Dec-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1047018,,other,Personal Loan,748xx,OK,13.48,0.0,Sep-95,0.0,30.0,,3.0,0.0,3007,50.1,28.0,f,0.0,0.0,5950.733572,5950.73,5000.0,950.73,0.0,0.0,0.0,Dec-14,176.99,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
361150,19997175,22219912,21000,21000,21000.0, 36 months,10.15,679.1,B,B2,Owner,10+ years,MORTGAGE,150000.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19997175,,credit_card,Credit card refinancing,770xx,TX,11.5,0.0,May-82,1.0,,,12.0,0.0,43830,67.8,27.0,f,11294.25,11294.25,12223.8,12223.8,9705.75,2518.05,0.0,0.0,0.0,Jan-16,679.1,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,237133.0,,,,,,,,,,,,64600.0,,,
114331,6325678,5688023,7200,7200,7200.0, 36 months,18.25,261.21,D,D2,Pathmark ,10+ years,MORTGAGE,75000.0,Verified,Jul-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6325678,,debt_consolidation,Debt,088xx,NJ,17.07,6.0,Feb-96,3.0,20.0,,19.0,0.0,12318,50.7,37.0,f,0.0,0.0,2688.98,2688.98,1109.24,715.21,0.0,864.53,8.645300002,Mar-14,261.21,,Jul-14,0.0,20.0,1,INDIVIDUAL,,,,0.0,0.0,355752.0,,,,,,,,,,,,24300.0,,,
322467,24795828,27118683,20850,20850,20850.0, 36 months,16.29,736.02,D,D2,Teacher,10+ years,MORTGAGE,58000.0,Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24795828,,debt_consolidation,Debt consolidation,373xx,TN,31.93,0.0,Dec-99,0.0,,,10.0,0.0,11840,98.7,51.0,f,12830.73,12830.73,11798.11,11798.11,8019.27,3778.84,0.0,0.0,0.0,Jan-16,736.02,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,111835.0,,,,,,,,,,,,12000.0,,,
